Beijing,20.61,9301.45,20.6,23.1,11137.74,5.31,4.22,22.59,9792.19,22.6,25.1,18.46,5618.75,18.5,20.8,19.37,8238.73,19.4,21.7,26.88,8354.47,26.9,29.9,15.69,10711.4,15.7,18,33.39,38847.22,33.4,36.4,10.67,22727.52,10.7,13.5,6767.75,13.7,15.5,15.62,13187.01,15.6,17.8,20.74,8522.82,20.7,23.5,13.93,10143.21,13.9,16.2,28.32,32407.76,28.3,31.2,16.35,6313.2,16.4,18.4,17.87,7697.9,17.9,20.1,10.2,8.7,63.6,9.7,102.5,2096,1,0.1578,CNY,28.1,32,32,65.1,60.1,18.4,21,21,336.17,51,63.5,81.33,98.72,212.01,581,314.3,48.8,524.95,71.4,342.05,97.4,3768.66,105.1,747.64071,40,1532.27,16.8,0.63,10.43,2.78,7.02,257.82,67.51,50.98,46.1,619.69,65.12,2391.88,55.9,552.99,81.8,525.72,116.391389,39.905556,PEK,China,Asia,East Asia,Transition
Chicago,113.22,51094.33,113.2,116.9,54905.72,25.86,19.09,84.94,36812.33,84.9,89,108.87,33131.83,108.9,113.2,110.2,46864,110.2,114.7,98.92,30744.67,98.9,103,71.67,48924.78,71.7,77.5,87.54,101839.33,87.5,93,91.57,194978,91.6,99.5,53728.83,108.5,112.2,87.98,74281.17,88,93.2,87.66,36027,87.7,91.7,89,64824,89,94.1,85.1,97393.22,85.1,90.5,100.55,38819.67,100.6,105,93.05,40088,93.1,97.4,7.5,17.2,92.3,14,103.8,2124,1,1,USD,96.7,105.8,102.4,92.7,86.7,89.6,98.1,94.9,92.18,14,124.2,159.02,110.09,236.43,101.7,55,58.3,626.94,98.9,473.69,96.2,3721.2,194.2,1381.087487,62.7,2404.08,45.9,2.44,28.44,8,18,219.51,105.93,121.4,91.06,1224.21,92.72,3405.82,103.2,1021.6,161.6,1039.06,-87.639,41.874,CHI,United States,Americas,North America,Industrialized
Lima,18.05,8145.98,18.1,19.3,10900.78,5.36,4.15,16.54,7167.35,16.5,17.8,16.16,4917.15,16.2,17.3,18.35,7805.05,18.4,19.7,20.95,6510.17,20.9,22.4,15.13,10329.61,15.1,16.7,21.54,25061.92,21.5,24.8,16.81,35786,16.8,21.1,10616.24,21.4,22.8,10.66,8997.92,10.7,12,36.18,14869.7,36.2,37.7,12.73,9270.51,12.7,14.2,37.43,42835.5,37.4,42.2,13.69,5283.65,13.7,14.7,20.54,8849.29,20.5,21.9,13,8.5,197.4,30,99.4,2033,1,0.3085,PEN,32.6,38.4,36.3,57,49.2,18.6,21.8,20.7,365.92,55.6,113,144.72,114.1,245.03,713.8,386.1,49.7,534.88,53,253.82,105.6,4086.26,124,881.6564342,18.2,698.03,146.5,0.59,90.75,4.94,85.22,304.6,56.46,53.31,39.57,532.03,56.97,2092.54,28.3,280.36,51.3,329.75,-77.033,-12,LIM,Peru,Americas,South America,Developing
New York,100,45128.22,100,100,59019.65,28.85,20.11,100,43340.5,100,100,100,30433.67,100,100,100,42524.5,100,100,100,31080,100,100,100,68262,100,100,100,116337,100,100,100,212918.5,100,100,49499,100,100,100,84430.33,100,100,100,41097,100,100,100,72833.33,100,100,100,114447.67,100,100,100,38606.5,100,100,100,43080,100,100,7.5,20.9,100,15.2,100,2046,1,1,USD,100,100,100,100,100,100,100,100,100,15.2,100,128.05,100,214.75,100,54.1,100,1075.62,100,478.88,100,3868.83,100,711.2921783,100,3833.66,100,2.91,61.93,16.35,42.67,565.22,246.5,144.03,100,1344.38,100,3673.04,100,989.82,100,642.9,-73.994,40.752,NYC,United States,Americas,North America,Industrialized
Vienna,79.23,35752.86,79.2,73.5,47135.83,25.87,16.32,91.57,39685.26,91.6,83,112.22,34153.01,112.2,104.3,89.34,37991.8,89.3,81.7,105.25,32711.73,105.3,98.9,57.99,39584.39,58,54.8,67.27,78265.3,67.3,59.2,101.38,215862.5,101.4,90.7,50258.14,101.5,88,53.48,45154.18,53.5,50.1,,,,,70.77,51543.31,70.8,63.5,68.4,78278.53,68.4,60.1,82.4,31811.97,82.4,78.4,85.63,36890.15,85.6,78.8,17.3,16.3,168,25.5,89.1,1822,1,1.2335,EUR,108,90.9,97.8,83,72.8,89.7,75.5,81.2,117.59,17.9,88.5,113.36,110.85,238.05,154.9,83.8,67.3,724.34,88.4,423.26,117.1,4528.95,186.7,1327.631469,32.4,1243.98,97,3.02,60.1,13.17,43.91,270.44,133.83,85.73,72.29,971.89,83.01,3049.07,74.3,735.34,101.5,652.43,16.333,48.233,VIE,Austria,Europe,Western Europe,Industrialized
Tokyo,94.29,42549.31,94.3,97.3,45640.6,22.86,17.15,90.86,39380.73,90.8,94.7,109,33172.44,109,114.6,76.69,32610.27,76.7,81.3,101.92,31677.67,101.9,107.4,71.1,48535.21,71.1,75.2,55.84,64960.99,55.8,61.6,61.08,130048.04,61.1,70.1,58982.83,119.1,119.2,55.01,46441.42,55,59.6,177.49,72942.2,177.4,173.5,80.38,58544.25,80.4,83.8,54.11,61928.08,54.1,59.8,93.19,35975.53,93.2,98.2,90,38772.42,90,94,14.6,9.8,121.5,18.5,97.6,1997,100,0.9292,JPY,79.6,84.8,85.7,99.5,89.7,79.2,84.3,85.3,80.67,12.2,146.9,188.05,106.24,228.15,130.7,70.7,83.2,894.99,110.5,529.01,106.6,4125.64,153.5,1091.769735,50.9,1951.47,84.3,2.34,52.22,17.02,32.86,391.11,199.65,121.26,98.07,1318.49,99.49,3654.46,84.2,833.19,141.7,911.17,139.75,35.667,TYO,Japan,Asia,East Asia,Industrialized
Mumbai,7.17,3237.68,7.2,8.5,5800.45,1.75,1.48,6.84,2964.84,6.8,8.1,10.36,3152.7,10.4,12.2,6.56,2790,6.6,7.8,7.17,2226.9,7.2,8.4,11.16,7619.2,11.2,13.5,13.55,15767.12,13.6,16.2,6.55,13950,6.6,8.7,4909.66,9.9,11.8,9.35,7892.08,9.3,11.5,14.18,5826.26,14.2,16.6,6.5,4734.48,6.5,8.1,14.06,16095.9,14.1,16.7,11.52,4445.9,11.5,13.6,14.9,6417,14.9,17.4,12,2.2,68.4,10.4,162,3315,1,0.0155,INR,13,25.1,15.8,46.6,41.5,6.1,11.7,7.3,580.36,88.1,178.2,228.15,197.83,424.83,1696.7,917.8,32.3,347.41,58.5,280.01,104.2,4031.82,109.7,780.5645127,21.4,821.26,10.2,0.23,6.29,1.72,4.34,189.24,103.67,23.25,24.63,331.09,46.6,1711.73,60,594.02,78.4,504.26,72.8,19,BOM,India,Asia,South Asia,Developing
Oslo,105.19,47471.18,105.2,94.9,51668.71,29.02,19.18,115.61,50106.03,115.6,104.1,144.42,43951.23,144.4,129.6,126.29,53705.54,126.3,113.4,138.56,43064.52,138.6,124.5,81.72,55782.38,81.7,76.4,61.32,71332.27,61.3,61.2,61.46,130869.12,61.5,63,55225.71,111.6,100.8,64.91,54804.08,64.9,61.9,202.76,83330,202.8,177.8,81.03,59017.58,81,76.1,66.96,76635.11,67,66.6,109.35,42217.57,109.4,98.9,102.96,44354.66,103,93.1,8.2,25.5,171.5,26.1,87,1780,1,0.1282,NOK,93.4,80.6,88.5,107.8,96.9,100.6,86.9,95.4,146.6,22.3,176.9,226.58,134.69,289.25,135.8,73.5,88.2,948.4,104.3,499.44,138.6,5362.14,178.8,1271.51965,53.2,2039.45,147,4.49,91.01,26.01,60.51,387.16,164.06,108.33,95.87,1288.86,107.76,3958.13,82,811.5,92.6,595.56,10.75,59.917,OSL,Norway,Europe,Western Europe,Industrialized
Geneva,150.69,68001.48,150.7,145,74889.27,37.93,26.76,179.29,77704.54,179.3,172.8,170.63,51930.2,170.6,163.8,140.61,59793.92,140.6,135.5,223.83,69565.27,223.8,213.5,106.61,72772.93,106.6,106.7,102.66,119426.86,102.7,108.2,63.57,135347.06,63.6,72.8,92859.68,187.6,179.5,107.45,90718.88,107.4,108.5,193.89,79681.06,193.9,183.8,143.28,104359.21,143.3,142.2,127.43,145840.26,127.4,131.4,144.76,55886.79,144.8,139.5,176.45,76015.92,176.5,169.2,7.2,22,164,24.9,96.5,1975,1,1.0598,CHF,115.9,118,117.4,113.4,102.9,131.5,133.8,133.1,101.71,15.4,80,102.46,84.22,180.86,87.8,47.5,89.8,965.85,147.4,705.77,125.1,4840.36,191.9,1364.982658,61,2339.95,154.1,3.18,95.45,21.26,71.01,413.06,173.01,114.46,104.05,1398.79,113.39,4164.99,133.1,1316.99,182.2,1171.23,6.167,46.2,GVA,Switzerland,Europe,Western Europe,Industrialized
Doha,27.58,12445.78,27.6,37.1,20802.27,9.25,9.25,22.25,9643.96,22.3,30,51.47,15663.47,51.5,68.7,15.42,6556.8,15.4,20.7,15,4662.61,15,20,56.03,38248,56,78.7,34.76,40433.6,34.8,52.4,38.49,81960,38.5,64.1,20490,41.4,56.1,27.5,23222,27.5,39.3,159.54,65568,159.5,214.5,43.51,31691.2,43.5,61.4,29.49,33755.38,29.5,44.4,37.65,14534.24,37.6,50.6,38.47,16574.13,38.5,51.8,0,0,210.5,32,110,2250,1,0.2732,QAR,50.2,85,72,63.8,64,32.1,54.3,46,151.78,23,86.5,110.79,252.79,542.88,204.5,110.6,45.7,491.24,65.9,315.54,91.2,3529.27,97.9,696.66,64.3,2464.97,9.1,0.89,5.64,4.75,,217.26,99.31,72.4,71.93,966.99,63.85,2345.21,44.6,441.49,49.8,320.12,51.533333,25.286667,DOH,Qatar,Asia,Middle East,Developing
Lagos,1.48,666.14,1.5,1.7,1655.81,2.72,2.25,3.46,1498.82,3.5,3.9,3.83,1165.75,3.8,4.3,1.96,832.68,2,2.3,6.43,1998.43,6.4,7.2,2.93,1998.43,2.9,3.4,6.3,7327.58,6.3,7.3,1.56,3330.72,1.6,2.1,2331.5,4.7,5.3,1.18,999.22,1.2,1.4,3.65,1498.82,3.7,4.1,2.52,1831.9,2.5,3,1.75,1998.43,1.7,2.2,2.16,832.68,2.2,2.5,4.25,1831.9,4.3,4.8,8,8.5,39.9,6.1,29.8,609,100,0.2776,NGN,23.2,7.9,27.6,40.6,33.9,9.4,3.2,11.2,657.05,99.8,72.1,92.37,68.82,147.79,939.1,508,29.2,314.13,32.7,156.8,61.8,2390.21,69.7,495.99972,6.8,261.18,21.4,0.49,13.24,9.71,3.04,233.01,169.31,13.88,42.6,572.77,40.65,1493.07,18.2,180.21,19.9,128.09,3.384082,6.455027,LOS,Lagos,Asia,East Asia,Developing
Montreal,90.83,40988.91,90.8,82,45421.64,23.33,14.78,111.44,48297.92,111.4,98.6,116.04,35316.23,116,104.9,67.55,28723.24,67.5,61.5,97.93,30436.27,97.9,88.6,56.28,38416.63,56.3,53.3,92.79,107951.69,92.8,82.9,90.43,192540.4,90.4,80.7,43425.97,87.7,79.1,57.54,48582.22,57.5,54,86.4,35509.5,86.4,78.6,64.28,46814.59,64.3,59.9,72.31,82762.3,72.3,67.7,59.52,22978.59,59.5,54.1,91.8,39548.65,91.8,83.1,6.6,28.1,123.7,18.8,95.2,1947,1,0.7891,CAD,99.4,87.3,90.3,81.4,68.6,80.9,71,73.5,118.31,18,78.8,100.91,74.96,160.97,117.8,63.7,52.5,564.28,86.9,416.34,88.7,3433.23,159.4,1133.711807,17.8,684.02,146.1,2.56,90.46,11.54,76.36,236.14,108.7,86.6,69.95,940.43,81.37,2988.88,86.9,859.97,105,675.19,-73.554,45.509,YMQ,Canada,Americas,North America,Industrialized
Rio de Janeiro,17.21,7766.01,17.2,21.1,13115.07,7.26,5.93,19.06,8260.49,19.1,23.2,12.42,3779.29,12.4,15.1,13.87,5896.4,13.9,17,19.61,6096.13,19.6,23.9,26.81,18299.48,26.8,31.4,32.11,37350.79,32.1,36.1,25.68,54673.45,25.7,30.7,21591.57,43.6,47.8,20.37,17200.3,20.4,24.5,46.05,18924.71,46,51.4,14.41,10496.36,14.4,18.2,27.65,31646.16,27.7,31.7,18.12,6996.65,18.1,22.1,29.54,12725.24,29.5,34.9,9,5.9,197.4,30,88.3,1807,1,0.3082,BRL,41.7,46,48.9,60.3,53,25.2,27.7,29.5,373.51,56.7,146,186.95,130.58,280.43,584.2,316,58,623.36,52.7,252.49,133.6,5168.03,90.6,644.1125735,23.8,913.3,10.6,1.33,6.54,5.21,,394.34,113.73,57.02,60.02,806.85,60.34,2216.31,36.2,358.62,51.5,331.13,-43.2,-22.95,RIO,Brazil,Americas,South America,Developing
Tallinn,35.9,16199.97,35.9,38.1,16212.38,8.81,6.93,28.8,12483.02,28.8,30.5,35.91,10927.44,35.9,37.8,52.21,22203,52.2,55.3,61.32,19059.77,61.3,64.5,33.73,23025.33,33.7,37.3,32.66,37991.8,32.7,38.8,13.21,28123.8,13.2,17.3,21972.75,44.4,47.4,18.12,15295.4,18.1,20.4,30.01,12335,30,31.8,22.72,16545.35,22.7,25.3,20.91,23929.9,20.9,24.8,37.62,14522.41,37.6,39.8,27.79,11973.17,27.8,29.4,1.6,19.7,196.5,29.9,90,1841,1,1.2335,EUR,43.5,47,49.1,70.2,60.2,30.5,33,34.5,214.48,32.6,183.4,234.88,164.06,352.32,385.4,208.5,63.2,679.97,66.9,320.29,118.2,4571.97,129.5,921.3104013,20.7,793.65,37,1.91,22.91,7.89,13.11,184.72,81.72,81.41,58.81,790.62,70.18,2577.68,88.6,877.24,165.5,1063.86,24.75,59.417,TLL,Estonia,Europe,Eastern Europe,Transition
Bangkok,28.93,13057.14,28.9,36.4,11762.81,5.32,4.92,21.13,9158.4,21.1,26.9,18.9,5751.74,18.9,23.8,14.81,6296.4,14.8,18.8,18.38,5711.28,18.4,23.2,23.85,16281.18,23.9,31.1,29.55,34376.07,29.5,38.7,12.55,26712,12.5,18.6,13685.87,27.6,35,23.24,19617.53,23.2,30.4,40.86,16790.4,40.9,50.8,12.99,9458.06,13,17.4,18.74,21452.28,18.7,25.7,18.16,7010.63,18.2,23.1,29.7,12794.87,29.7,37.4,2.6,4.6,81.1,12.3,108,2209,1,0.0318,THB,30.2,42.7,40,61.2,52.8,18.5,26.1,24.5,309.16,46.9,79.5,101.83,67.74,145.47,484.1,261.9,36.1,388.72,82.4,394.72,87.7,3391.4,77.4,550.5073625,20,765.95,10.1,0.95,6.26,2.04,3.27,167.1,106.85,54.46,33.14,445.5,61.18,2247.05,45.5,449.91,43.6,280.38,100.5,13.75,BKK,Thailand,Asia,East Asia,Developing
Frankfurt,74.36,33557.78,74.4,72.7,43844.79,24.73,17.37,85.59,37096,85.6,83.1,93.53,28463.7,93.5,91.7,69.04,29357.3,69,68,90.4,28097.49,90.4,88.8,62.88,42924.98,62.9,63.1,89.38,103981.04,89.4,92.2,85,180975.42,85,89.1,58715.7,118.6,113.9,50.48,42621.21,50.5,51.6,69.51,28567.86,69.5,68.6,94.44,68784.26,94.4,95.3,57.26,65533.39,57.3,61.5,76.14,29393.48,76.1,74.9,92.49,39842.6,92.5,89.4,19,9.6,188.6,28.7,86.7,1773,1,1.2335,EUR,105.6,97.6,106.4,81.2,73.3,85.7,79.2,86.4,110.54,16.8,152.2,194.89,125.96,270.5,150.8,81.6,81.3,874.52,78.4,375.61,117.2,4532.48,100.9,717.489945,41.7,1597.61,140.9,3.11,87.23,17.82,66.3,451.77,243.31,89.46,89.44,1202.39,81.21,2982.9,55.9,553.38,88.4,568.42,8.683,50.117,FRA,Germany,Europe,Western Europe,Industrialized
Miami,99.49,44897.67,99.5,109,53041.19,26.48,20.74,86.89,37659.11,86.9,95.7,83.43,25391.33,83.4,91.5,105.02,44658,105,115,94.15,29261.5,94.1,103.2,83.7,57134.67,83.7,93.2,86.08,100145.67,86.1,96,77.83,165707,77.8,95.2,59833,120.9,129.5,95.05,80253.33,95.1,104.9,80.22,32968,80.2,88.4,79.51,57912.56,79.5,89,89.06,101929.67,89.1,99.1,92.96,35886.83,93,102.2,83.15,35819.33,83.1,91.6,7.6,13.1,79.8,12.1,97.9,2003,1,1,USD,112.1,121.7,125.9,81.9,75.3,91.8,99.7,103.1,91.72,13.9,91,116.47,111.77,240.03,96.7,52.3,67.8,729.58,87.2,417.6,103.8,4017.57,109.3,777.7924875,49.2,1884.42,58.9,2.33,36.48,10.37,23.78,358.99,163.42,93.48,88.22,1186.04,81.91,3008.55,72.8,720.35,101.5,652.71,-80.28,25.82,MIA,United States,Americas,North America,Industrialized
Hanoi,8.87,4002.91,8.87,10.02,1219.4,4.53,3.47,4.57,1979.46,4.57,5.23,13.01,3958.92,13,14.6,18.37,7813.14,18.4,20.1,10.79,3354.09,10.8,12.2,44.02,30050.55,44,45,25.83,30050.55,25.8,28.4,4.08,8692.03,4.1,5.5,18030.33,36.4,37.8,14.24,12020.22,14.2,16,11.56,4750.7,11.6,13,33.01,24040.44,33,34.6,23.63,27045.5,23.6,26.2,21.78,8410.25,21.8,23.6,26.55,11436.88,26.5,28.3,10.5,10.1,52.6,8,131.6,2691,10000,0.4399,VND,33.3,46.8,36.6,47.2,42.3,15.7,22.1,17.3,325.49,49.42,54.9,70.33,54.87,117.84,667.3,361,62.7,674.79,53.8,257.49,98.8,3821.17,89.9,639.14564,23.2,889.59,31.6,0.32,19.56,3.35,15.89,229.49,36.46,24.47,24.46,328.8,47.18,1732.85,35.2,348.45,57,366.15,105.854167,21.028333,HAN,Vietnam,Asia,East Asia,Developing
Bogotá,12.13,5474.16,12.1,15,9650.44,4.09,3.57,13.63,5908.82,13.6,16.8,15.9,4840.2,15.9,19.5,15.92,6769.08,15.9,19.6,14.9,4631.96,14.9,18.3,16.37,11174.13,16.3,21.1,12.09,14063.76,12,16.4,8.86,18856.09,8.8,12.6,8716.37,17.6,21.9,10.69,9026.9,10.7,14,33.71,13854.06,33.6,40.8,16.17,11775.2,16.1,20.9,31.52,36077.75,31.4,35.8,12.05,4652.27,12,14.8,16.41,7070.94,16.4,20.3,8,1.7,94.7,14.4,115.2,2358,100,0.0351,COP,25.6,36.7,32,55.5,47.6,14.2,20.4,17.7,423.79,64.3,138.3,177.09,119.57,256.78,786.4,425.4,51,548.65,52.8,252.64,128.4,4969.14,122.6,872.02126,16.1,617.11,7.8,,4.8,,,,,,,,,,32.9,326.13,55.7,358.36,,,,,,,
Los Angeles,102.11,46081.78,102.1,108.1,58664.08,29.35,21.68,72.66,31491.11,72.7,78.2,112.44,34221.11,112.4,119.9,133.76,56879,133.8,137.3,126.25,39238,126.2,133.9,79.24,54093.56,79.2,85.4,74.17,86285.33,74.2,81.2,91,193758,91,94.9,63584,128.5,130.9,90.15,76116.67,90.2,94.7,92.88,38169,92.9,99.2,75.17,54745.56,75.2,81.4,91.72,104968.67,91.7,95.5,118.55,45767.89,118.5,125.3,105.4,45406.22,105.4,111.7,7.5,16.7,66.7,10.1,97.7,1999,1,1,USD,122.1,123.9,129.4,83.3,79.7,101.7,103.2,107.8,89.58,13.6,94.7,121.24,92.18,197.96,93.5,50.6,63.3,680.98,84.4,404.08,75,2901.06,121,860.9727125,64.7,2480.4,70.9,2.1,43.92,11.52,30.3,323.85,152.2,60.3,72.19,970.57,83.3,3059.58,101.8,1008.08,156.1,1003.36,-118.241,34.054,LAX,United States,Americas,North America,Industrialized
Sydney,85.46,38567.48,85.5,95.2,45164.9,23.15,18.26,105.37,45669.49,105.4,113.5,117.31,35702.21,117.3,131.8,86.89,36951.4,86.9,97.6,141.38,43939.85,141.4,152.3,68.78,46949.59,68.8,76.9,70.41,81908.35,70.4,77.4,55.39,117930,55.4,63.8,53714.23,108.5,114.6,64.75,54672,64.8,71.9,95.65,39310,95.7,106,76.27,55552.98,76.3,83.4,58.64,67115.71,58.6,66.6,90.73,35029.58,90.7,102.9,71.7,30888.93,71.7,84,2,18.3,127.2,19.3,95.4,1951,1,0.7862,AUD,87.9,96.5,99.4,91.3,84.1,80.2,88.1,90.8,95.73,14.5,70.6,90.43,108.28,232.54,125.7,68,62.6,673.48,83.1,397.73,87.5,3384.39,152.3,1083.352152,56.2,2152.88,28.9,2.72,17.92,10.4,4.8,299.94,180.43,78.62,85.11,1144.25,91.3,3353.34,78.5,777.24,94.6,608.36,151,-34,SYD,Australia,Oceania,Oceania,Industrialized
